Last login: Sun Aug  5 00:47:17 on ttys000
Quinns-MacBook-Air:~ DrQ$ cd ~/Documents/sports
Quinns-MacBook-Air:sports DrQ$ python fb_play_scraper.py
FreeJo00 2011 passer 21
SancMa00 2011 passer 8
SancMa00 2011 passer 18
SancMa00 2011 passer 19
SancMa00 2011 passer 20
SancMa00 2011 passer 21
FlacJo00 2011 passer 5
FlacJo00 2011 passer 18
FlacJo00 2011 passer 21
RomoTo00 2011 passer 5
RomoTo00 2011 passer 18
RomoTo00 2011 passer 19
RomoTo00 2011 passer 20
RomoTo00 2011 passer 21
HassMa00 2011 passer 6
HassMa00 2011 passer 18
HassMa00 2011 passer 19
HassMa00 2011 passer 20
HassMa00 2011 passer 21
NewtCa00 2011 passer 9
NewtCa00 2011 passer 18
NewtCa00 2011 passer 19
NewtCa00 2011 passer 20
NewtCa00 2011 passer 21
DaltAn00 2011 passer 7
DaltAn00 2011 passer 19
DaltAn00 2011 passer 20
DaltAn00 2011 passer 21
RoetBe00 2011 passer 11
RoetBe00 2011 passer 16
RoetBe00 2011 passer 19
RoetBe00 2011 passer 20
RoetBe00 2011 passer 21
RodgAa00 2011 passer 8
RodgAa00 2011 passer 17
RodgAa00 2011 passer 18
RodgAa00 2011 passer 20
RodgAa00 2011 passer 21
McCoCo00 2011 passer 5
McCoCo00 2011 passer 15
McCoCo00 2011 passer 16
McCoCo00 2011 passer 17
McCoCo00 2011 passer 18
McCoCo00 2011 passer 19
McCoCo00 2011 passer 20
McCoCo00 2011 passer 21
GrosRe00 2011 passer 5
GrosRe00 2011 passer 7
GrosRe00 2011 passer 8
GrosRe00 2011 passer 9
GrosRe00 2011 passer 18
GrosRe00 2011 passer 19
GrosRe00 2011 passer 20
GrosRe00 2011 passer 21
JackTa00 2011 passer 6
JackTa00 2011 passer 7
JackTa00 2011 passer 18
JackTa00 2011 passer 19
JackTa00 2011 passer 20
JackTa00 2011 passer 21
SmitAl03 2011 passer 7
SmitAl03 2011 passer 18
SmitAl03 2011 passer 21
VickMi00 2011 passer 7
VickMi00 2011 passer 11
VickMi00 2011 passer 12
VickMi00 2011 passer 13
VickMi00 2011 passer 18
VickMi00 2011 passer 19
VickMi00 2011 passer 20
VickMi00 2011 passer 21
GabbBl00 2011 passer 1
GabbBl00 2011 passer 9
GabbBl00 2011 passer 18
GabbBl00 2011 passer 19
GabbBl00 2011 passer 20
GabbBl00 2011 passer 21
BradSa00 2011 passer 5
BradSa00 2011 passer 7
BradSa00 2011 passer 8
BradSa00 2011 passer 13
BradSa00 2011 passer 15
BradSa00 2011 passer 16
BradSa00 2011 passer 17
BradSa00 2011 passer 18
BradSa00 2011 passer 19
BradSa00 2011 passer 20
BradSa00 2011 passer 21
MoorMa01 2011 passer 1
MoorMa01 2011 passer 2
MoorMa01 2011 passer 3
MoorMa01 2011 passer 5
MoorMa01 2011 passer 18
MoorMa01 2011 passer 19
MoorMa01 2011 passer 20
MoorMa01 2011 passer 21
PalmCa00 2011 passer 1
PalmCa00 2011 passer 2
PalmCa00 2011 passer 3
PalmCa00 2011 passer 4
PalmCa00 2011 passer 5
PalmCa00 2011 passer 6
PalmCa00 2011 passer 8
PalmCa00 2011 passer 18
PalmCa00 2011 passer 19
PalmCa00 2011 passer 20
PalmCa00 2011 passer 21
CutlJa00 2011 passer 8
CutlJa00 2011 passer 12
CutlJa00 2011 passer 13
CutlJa00 2011 passer 14
CutlJa00 2011 passer 15
CutlJa00 2011 passer 16
CutlJa00 2011 passer 17
CutlJa00 2011 passer 18
CutlJa00 2011 passer 19
CutlJa00 2011 passer 20
CutlJa00 2011 passer 21
SchaMa00 2011 passer 11
SchaMa00 2011 passer 12
SchaMa00 2011 passer 13
SchaMa00 2011 passer 14
SchaMa00 2011 passer 15
SchaMa00 2011 passer 16
SchaMa00 2011 passer 17
SchaMa00 2011 passer 18
SchaMa00 2011 passer 19
SchaMa00 2011 passer 20
SchaMa00 2011 passer 21
PondCh00 2011 passer 1
PondCh00 2011 passer 2
PondCh00 2011 passer 3
PondCh00 2011 passer 4
PondCh00 2011 passer 5
PondCh00 2011 passer 9
PondCh00 2011 passer 18
PondCh00 2011 passer 19
PondCh00 2011 passer 20
PondCh00 2011 passer 21
SkelJo00 2011 passer 1
SkelJo00 2011 passer 2
SkelJo00 2011 passer 3
SkelJo00 2011 passer 4
SkelJo00 2011 passer 5
SkelJo00 2011 passer 6
SkelJo00 2011 passer 7
SkelJo00 2011 passer 8
SkelJo00 2011 passer 13
SkelJo00 2011 passer 18
SkelJo00 2011 passer 19
SkelJo00 2011 passer 20
SkelJo00 2011 passer 21
TeboTi00 2011 passer 1
